Литовское слово,Английский,Русский
"madingas, -a","fashionable, stylish",модный
"margas, -a",multicolour,разноцветный
marškinėliai,T-shirt,футболка
marškiniai,shirt,рубашка
"maudymosi kostiumėlis, -io",swimsuit,купальник
"medinis, -ė","wooden
",деревянный
"medvilninis, -ė",cotton,хлопковый
"mėgti, mėgsta, mėgo ką?",like,любить
"megztinis, -io","sweater, jumper",свитер
meilė,love,любовь
"meistras, -ė","handyman, handywoman",мастер
metai,year,год
miegamasis,bedroom,спальня
"miegoti, miega, miegojo",sleep,спать
"mylimas, -a",beloved,любимый
"minkštas, -a",soft,мягкий
miškas,forest,лес
"mokamas, -a",paid,платный
"mokestis, -io",fee,плата
"mokėti, moka, mokėjo",know,знать
"mokyti, moko, mokė ką? ko?",teach,учить
"mokytis, mokosi, mokėsi ko?",learn,учиться
"mokytojas, -a",teacher,учитель
"moteriškas, -a",womenswear,женская одежда
namai,home,дом
namas,house,дом
"naujas, -a",new,новый
"nemokamas, -a",free of charge,бесплатный
"nešioti, nešioja, nešiojo ką?",wear,носить
"nešvarus, -i","unclean, dirty",грязный
"normalus, -i",normal,нормальный
"nosis, -ies",nose,нос
nugara,back,спина
"nunešti, nuneša, nunešė ką?",take,отнести
nuo,"from, since","от, с"
nuolaida,discount,скидка
"nuomoti, nuomoja, nuomojo ką?","let, rent","сдавать, арендовать"
"nuplauti, nuplauna, nuplovė ką?",wash,вымыть
"nusiauti, nusiauna, nusiavė ką?",take off shoes,снимать обувь
"nusipirkti, nusiperka, nusipirko ką?",buy,купить
"nusirengti, nusirengia, nusirengė ką?","undress, take off",раздеваться
"nuvalyti, nuvalo, nuvalė ką?",wipe off,вытирать
"odinis, -ė",leather,кожаный
"oranžinis, -ė",orange,оранжевый
oras,air,воздух
orkaitė,oven,духовка
padangos,tires,шины
"padaryti, padaro, padarė ką?",do,делать
"padavėjas, -a","waiter, waitress","официант, официантка"
"paduoti, paduoda, padavė ką?","give, hand",передавать
paėmimas,pick-up,забор
"pailsėti, pailsi, pailsėjo",have a rest,отдохнуть
"pakartoti, pakartoja, pakartojo",repeat,повторять
"pakeisti, pakeičia, pakeitė ką?",change,менять
"paklausti, paklausia, paklausė",ask,спрашивать
palaidinė,blouse,блузка
palata,ward,палата
"palaukti, palaukia, palaukė ko?",wait,ждать
"palenkti, palenkia, palenkė ką?",hem,подшивать
paltas,coat,пальто
"pamiršti, pamiršta, pamiršo ką?",forget,забывать
"papildyti, papildo, papildė ką?","refill, top up",пополнять
para,twenty-four hours,сутки
parašas,signature,подпись
"pardavėjas, -a","salesman, saleswoman","продавец, продавщица"
"parodyti, parodo, parodė ką?",show,показывать
"pasakyti, pasako, pasakė ką?","say, tell","сказать, рассказать"
"pasibaigti, pasibaigia, pasibaigė","finish, come to an end",заканчиваться
"pasimatuoti, pasimatuoja, pasimatavo ką?",try on,примерять
"pasirašyti, pasirašo, pasirašė ką?",sign,подписывать
"pasisiūti, pasisiuva, pasisiuvo ką?",have / get (smth) made,сшить себе
"pasiskiepyti, pasiskiepija, pasiskiepijo nuo ko?",be vaccinated against,привиться от
"paskambinti, paskambina, paskambino kam?","call, make a call",позвонить
"paskolinti, paskolina, paskolino ką?",lend,одолжить
paskui,then,потом
paspirtukas,scooter,самокат
"pasukti, pasuka, pasuko",turn,повернуть
"pasveikti, pasveiksta, pasveiko","get better, recover",выздороветь
"pataisyti, pataiso, pataisė ką?","fix, repair",чинить
patalynė,bedding,постельное бельё
"patogus, -i",comfortable,удобный
"patrumpinti, patrumpina, patrumpino ką?",shorten,укоротить
"pavargęs, -usi",tired,уставший
"pavasaris, -io",spring,весна
paveikslas,"painting, picture",картина
pažymys,"grade, mark",оценка
per,during,во время
"perduoti, perduoda, perdavė ką?",inform,сообщать
"peršalti, peršąla, peršalo",catch a cold,простудиться
pieštukas,pencil,карандаш
"pigus, -i",cheap,дешёвый
"pykinti, pykina, pykino ką?",nauseate,тошнить
"pilti, pila, pylė ką?",refuel,заправлять
pilvas,"abdomen, belly",живот
piniginė,wallet,кошелёк
pirštas,finger,палец
pirštinės,gloves,перчатки
"platus, -i",wide,широкий
"plaukioti, plaukioja, plaukiojo",swim,плавать
po,under,"
под"
popierius,paper,бумага
"pradėti, pradeda, pradėjo ką?","start, begin",начинать
"prasidėti, prasideda, prasidėjo",begin,начинаться
pratimas,exercise,упражнение
prieš,"before, some time ago","до, раньше"
purškalas,spray,спрей
purvas,dirt,грязь
"puslapis, -io",page,страница
raktas,key,ключ
rakteliai,keys,ключи
"ramus, -i","calm, quiet","спокойный, тихий"
ranka,"hand, arm",рука
rankinė,handbag,сумка
rankovė,sleeve,рукав
"rašiklis, -io",pen,ручка
"rašyti, rašo, rašė ką?",write,писать
"rausvas, -a",pink,розовый
receptas,prescription,рецепт
"reikėti, reikia, reikėjo kam? ko?",need,нужно
remontas,repair,ремонт
"rezervuoti, rezervuoja, rezervavo ką?",reserve,бронировать
rūbai,clothes,одежда
"rudas, -a",brown,коричневый
ruduo,autumn,осень
"rupjūtis, -io",August,август
"rugsėjis, -o",September,сентябрь
rūsys,cellar,подвал
saga,button,пуговица
salė,hall,зал
"sąsiuvinis, -io",exercise book,тетрадь
"sausis, -io",January,январь
"sėdėti, sėdi, sėdėjo",sit,сидеть
sėkmė,success,успех
"senamadiškas, -a",oldfashioned,старомодный
"senas, -a",old,старый
"siauras, -a",tight,узкий
"sidabrinis, -ė",silver,серебряный
siena,wall,стена
sijonas,skirt,юбка
"sirgti, serga, sirgo","be ill, sick",болеть
"siuvėjas, -a",tailor,портной
siuvykla,tailor shop,ателье
skalbykla,laundry,прачечная
skalbyklė,washing machine,стиральная машина
"skalbti, skalbia, skalbė ką?",wash,стирать
"skaudėti, skauda, skaudėjo kam? ką?","have a pain, hurt, ache","болеть, болит"
"skėtis, -io",umbrella,зонт
"skrandis, -io",stomach,желудок
"skristi, skrenda, skrido","go by plane, fly",лететь
"slaugytojas, -a",nurse,"медсестра, медбрат"
"slidinėti, slidinėja, slidinėjo",ski,кататься на лыжах
sodyba,"summer house, homestead","дача, усадьба"
"spalis, -io",October,октябрь
"spalvingas, -a",colourful,яркий
spinta,"wardrobe, closet",шкаф
sportbačiai,sneakers,кроссовки
"sportuoti, sportuoja, sportavo",do sports,заниматься спортом
stabdžiai,brakes,тормоза
stalas,table,стол
"statybininkas, -ė",builder,строитель
striukė,jacket,куртка
"studijuoti, studijuoja, studijavo ką?",study,учиться
suknelė,dress,платье
"sumokėti, sumoka, sumokėjo už ką?",pay,заплатить
"suremontuoti, suremontuoja, suremontavo ką?","repair, fix",отремонтировать
susirinkimas,"meeting, assembly",собрание
susitikimas,meeting,встреча
"sustoti, sustoja, sustojo",stop,остановиться
"sutvarkyti, sutvarko, sutvarkė ką?",tidy up,убирать
svečias,guest,гость
"sveikas, -a",healthy,здоровый
sveikata,health,здоровье
"sveikinti, sveikina, sveikino ką?",congratulate,поздравлять
